服务器,设备类型,设备,R/W,变量名,描述,变量类型,禁用,绑定行为,绑定行为2,
192.168.127.30,AutoDoor,AutoDoor#1,R,DB320.DBX0.2,系统开机状态,BOOL,,HEARTBEAT,R01,
,AutoDoor,AutoDoor#1,R,DB320.DBX0.3,系统自动运行状态,BOOL,,STARTSIG,R02,
,AutoDoor,AutoDoor#1,R,DB320.DBX0.4,门关闭状态,BOOL,,,R03,
,AutoDoor,AutoDoor#1,R,DB320.DBX0.5,门开启状态,BOOL,,,R04,
,AutoDoor,AutoDoor#1,R,DB320.DBX0.6,开门中,BOOL,,OPENSIG,R05,
,AutoDoor,AutoDoor#1,R,DB320.DBX0.7,关门中,BOOL,,CLOSESIG,R06,
,AutoDoor,AutoDoor#1,R,DB320.DBX1.0,开门完成,BOOL,,,R07,
,AutoDoor,AutoDoor#1,R,DB320.DBX1.1,关门完成,BOOL,,,R08,
,AutoDoor,AutoDoor#1,R,DB320.DBX1.2,Auto Door 故障报错状态,BOOL,,,R09,
,AutoDoor,AutoDoor#1,R,DB320.DBX1.3,初始化回原点中,BOOL,,,R10,
,AutoDoor,AutoDoor#1,R,DB320.DBX1.4,初始化回原点完成,BOOL,,,R11,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.0,启动运行,BOOL,,START,W01,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.1,停止运行,BOOL,,STOP,W02,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.2,开门按钮,BOOL,,MOPEN,W03,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.3,关门按钮,BOOL,,MCLOSE,W04,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.4,紧急停止按钮,BOOL,,EMERG,W05,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.5,故障复位,BOOL,,RESET,W06,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.6,上位触发开门,BOOL,,OPEN,W07,
,AutoDoor,AutoDoor#1,W,DB321.DBX0.7,上位触发关门,BOOL,,CLOSE,W08,
,AutoDoor,AutoDoor#1,W,DB321.DBX1.0,初始化回原点按钮,BOOL,,INITIAL,W09,按住两秒再发命令
,AutoDoor,AutoDoor#1,W,DB321.DBX1.1,自动/手动模式,BOOL,,SWITCH,W10,
